Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Ray Tolbert,Indiana,Black,1982,1989,F,6-9,225,"September 10, 1958",Indiana University
Tom Tolbert,California,White,1989,1995,F-C,6-7,235,"October 16, 1965",University of Arizona
Anthony Tolliver,Missouri,Black,2009,2016,F-C,6-8,240,"June 1, 1985",Creighton University
Andrew Toney,Alabama,Black,1981,1988,G,6-3,178,"November 23, 1957",University of Louisiana at Lafayette
Sedric Toney,Mississippi,Black,1986,1994,G,6-2,178,"April 13, 1962",University of Dayton
Andy Toolson,Illinois,White,1991,1996,G-F,6-6,210,"January 19, 1966",Brigham Young University
Oscar Torres,Venezuela,Black,2002,2003,F,6-6,210,"December 18, 1976",
Axel Toupane,France,White,2016,2016,G-F,6-7,197,"July 23, 1992",
Keith Tower,Montana,Black,1994,1997,C-F,6-11,250,"May 15, 1970",University of Notre Dame
Linton Townes,Virginia,Black,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University
Karl-Anthony Towns,New Jersey,Black,2016,2016,F-C,7-0,244,"November 15, 1995",University of Kentucky
Robert Traylor,Michigan,Black,1999,2005,F,6-8,284,"February 1, 1977",University of Michigan
Gary Trent,Ohio,Black,1996,2004,F,6-8,250,"September 22, 1974",Ohio University
Jeff Trepagnier,California,Black,2002,2004,G,6-4,200,"July 11, 1979",University of Southern California
Kelly Tripucka,New Jersey,White,1982,1991,F-G,6-6,220,"February 16, 1959",University of Notre Dame
Cezary Trybanski,poland,White,2003,2004,C,7-2,240,"September 22, 1979",
Jake Tsakalidis,Georgia,White,2001,2007,C,7-2,285,"June 10, 1979",
Nikoloz Tskitishvili,Georgia,White,2003,2006,F,7-0,225,"April 14, 1983",
Alando Tucker,Illinois,Black,2008,2010,F,6-6,205,"February 11, 1984",University of Wisconsin
Anthony Tucker,District of Columbia,Black,1995,1995,F,6-8,220,"April 4, 1969",Wake Forest University
P.J. Tucker,North Carolina,Black,2007,2016,F,6-6,245,"May 5, 1985",University of Texas at Austin
Trent Tucker,North Carolina,Black,1983,1993,G,6-5,193,"December 20, 1959",University of Minnesota
Ronny Turiaf,France,Black,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga University
Mirsad Turkcan,Serbia,White,2000,2000,F,6-9,236,"June 7, 1976",
Hedo Turkoglu,Turkey,White,2001,2015,F,6-10,220,"March 19, 1979",
Andre Turner,Tennessee,Black,1987,1992,G,5-11,160,"December 13, 1964",University of Memphis
Elston Turner,Tennessee,Black,1982,1989,G-F,6-5,190,"June 10, 1959",University of Mississippi
Evan Turner,Illinois,Black,2011,2016,G,6-7,220,"October 27, 1988",Ohio State University
Henry Turner,California,Black,1990,1995,G-F,6-7,200,"August 18, 1966","California State University, Fullerton"
Jeff Turner,Maine,White,1985,1996,F-C,6-9,230,"April 9, 1962",Vanderbilt University
John Turner,District of Columbia,Black,1992,1992,F,6-8,245,"November 30, 1967",Phillips University
Myles Turner,Texas,Black,2016,2016,F-C,6-11,243,"March 24, 1996",University of Texas at Austin
Wayne Turner,Massachusetts,Black,2000,2000,G,6-2,190,"March 22, 1976",University of Kentucky
Melvin Turpin,Kentucky,Black,1985,1990,C,6-11,240,"December 28, 1960",University of Kentucky
B.J. Tyler,Texas,Black,1995,1995,G,6-1,185,"April 30, 1971",University of Texas at Austin
Jeremy Tyler,California,Black,2012,2014,C,6-10,260,"June 21, 1991",
Terry Tyler,Michigan,Black,1979,1989,F-G,6-7,215,"October 30, 1956",University of Detroit Mercy
Edwin Ubiles,New York,Black,2012,2012,G,6-6,204,"November 26, 1986",Siena College
Ekpe Udoh,Oklahoma,Black,2011,2015,F,6-10,240,"May 20, 1987",Baylor University
Ime Udoka,Oregon,Black and White,2004,2011,F,6-6,215,"August 9, 1977",Portland State University
Beno Udrih,Slovenia,White,2005,2016,G,6-3,205,"July 5, 1982",
Roko Ukic,Croatia,Black,2009,2010,G,6-5,183,"May 12, 1984",
Kelvin Upshaw,Illinois,Black,1989,1991,G,6-2,180,"January 24, 1963",University of Utah
Ben Uzoh,Texas,Black,2011,2012,G,6-3,205,"March 19, 1988",University of Tulsa
Jonas Valanciunas,Lithuania,White,2013,2016,C,7-0,255,"May 6, 1992",
Darnell Valentine,Illinois,Black,1982,1991,G,6-1,183,"February 3, 1959",University of Kansas
Nick Van Exel,Wisconsin,Black,1994,2006,G,6-1,170,"November 27, 1971",University of Cincinnati
Keith Van Horn,California,White,1998,2006,F,6-10,220,"October 23, 1975",University of Utah
Logan Vander Velden,Wisconsin,White,1996,1996,F,6-8,215,"April 3, 1971",University of Wisconsin-Green Bay
Kiki Vandeweghe,Germany,White,1981,1993,F,6-8,220,"August 1, 1958","University of California, Los Angeles"
Nick Vanos,California,White,1986,1987,C,7-1,255,"April 13, 1963",Santa Clara University
David Vanterpool,Florida,Black,2001,2001,G,6-5,200,"March 31, 1973",St. Bonaventure University
Ratko Varda,Bosnia and Herzegovina,White,2002,2002,C,7-1,260,"May 6, 1979",
Anderson Varejao,Brazil,White,2005,2016,F-C,6-10,273,"September 28, 1982",
Jarvis Varnado,Virginia,Black,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State University
Greivis Vasquez,Venezuela,Black,2011,2016,G,6-6,217,"January 16, 1987",University of Maryland
David Vaughn,Oklahoma,Black,1996,1999,F,6-9,240,"March 23, 1973",University of Memphis
Jacque Vaughn,California,Black,1998,2009,G,6-1,190,"February 11, 1975",University of Kansas
Rashad Vaughn,Minnesota,Black,2016,2016,G,6-6,202,"August 16, 1996","University of Nevada, Las Vegas"
Loy Vaught,Michigan,Black,1991,2001,F,6-9,230,"February 27, 1968",University of Michigan
Pete Verhoeven,California,White,1982,1987,F,6-9,215,"February 15, 1959","California State University, Fresno"
Jan Vesely,Czech Republic,White,2012,2014,F,6-11,240,"April 24, 1990",
Gundars Vetra,Latvia,White,1993,1993,F,6-6,195,"May 22, 1967",
Joao Vianna,Brazil,Black and White,1992,1992,F,6-9,215,"November 15, 1966",
Charlie Villanueva,New York,Black,2006,2016,F,6-11,232,"August 24, 1984",University of Connecticut
Jay Vincent,Michigan,Black,1982,1990,F,6-7,220,"June 10, 1959",Michigan State University
Sam Vincent,Michigan,Black,1986,1992,G,6-2,185,"May 18, 1963",Michigan State University
Marcus Vinicius,Brazil,Black and White,2007,2008,F,6-8,225,"May 31, 1984",
Fred Vinson,North Carolina,Black,1995,2000,G,6-4,190,"January 28, 1971",Georgia Institute of Technology
Gary Voce,Jamaica,Black,1990,1990,F,6-9,240,"November 24, 1965",University of Notre Dame
Alexander Volkov,Russian,White,1990,1992,F,6-10,218,"March 28, 1964",
Noah Vonleh,Massachusetts,Black,2015,2016,F,6-10,240,"August 24, 1995",Indiana University
Jake Voskuhl,Oklahoma,White,2001,2009,C,6-11,245,"November 1, 1977",University of Connecticut
Danny Vranes,Utah,White,1982,1988,F,6-7,210,"October 29, 1958",University of Utah
Slavko Vranes,Serbia,White,2004,2004,C,7-5,275,"January 30, 1983",
Stojko Vrankovic,Croatia,White,1991,1999,C,7-2,260,"January 22, 1964",
Jackson Vroman,California,White,2005,2006,F-C,6-10,220,"June 6, 1981",Iowa State University
Nikola Vucevic,Switzerland,White,2012,2016,C,7-0,260,"October 24, 1990",University of Southern California
Sasha Vujacic,Slovenia,White,2005,2016,G,6-7,195,"March 8, 1984",
Dwyane Wade,Illinois,Black,2004,2016,G,6-4,220,"January 17, 1982",Marquette University
Mark Wade,California,Black,1988,1990,G,5-11,160,"October 15, 1965","University of Nevada, Las Vegas"
Von Wafer,Louisiana,Black,2006,2012,G,6-5,210,"July 21, 1985",Florida State University
Dajuan Wagner,New Jersey,Black,2003,2007,G,6-2,200,"February 4, 1983",University of Memphis
Milt Wagner,New Jersey,Black,1988,1991,G,6-5,185,"February 20, 1963",University of Louisville
Dion Waiters,Pennsylvania,Black,2013,2016,G,6-4,225,"December 10, 1991",Syracuse University
Granville Waiters,Ohio,Black,1984,1988,C,6-11,225,"January 8, 1961",Ohio State University
Antoine Walker,Illinois,Black,1997,2008,F,6-8,224,"August 12, 1976",University of Kentucky
Darrell Walker,Illinois,Black,1984,1993,G,6-4,180,"March 9, 1961",University of Arkansas
Henry Walker,Virginia,Black,2009,2015,F,6-6,220,"October 9, 1987",Kansas State University
Kemba Walker,New York,Black,2012,2016,G,6-1,172,"May 8, 1990",University of Connecticut
Kenny Walker,Georgia,White,1987,1995,F,6-8,210,"August 18, 1964",University of Kentucky
Samaki Walker,Ohio,Black,1997,2006,F,6-9,240,"February 25, 1976",University of Louisville
John Wall,North Carolina,Black,2011,2016,G,6-4,195,"September 6, 1990",University of Kentucky
Ben Wallace,Alabama,Black,1997,2012,F-C,6-9,240,"September 10, 1974",Virginia Union University
Gerald Wallace,Alabama,Black,2002,2015,F,6-7,215,"July 23, 1982",University of Alabama
John Wallace,New York,Black,1997,2004,F,6-8,225,"February 9, 1974",Syracuse University
Rasheed Wallace,Pennsylvania,Black,1996,2013,F-C,6-10,225,"September 17, 1974",University of North Carolina
Jamie Waller,Virginia,Black,1988,1988,G,6-4,215,"November 20, 1964",Virginia Union University
Matt Walsh,Pennsylvania,White,2006,2006,G-F,6-6,205,"December 2, 1982",University of Florida
Rex Walters,Nebraska,Others,1994,2000,G,6-4,190,"March 12, 1970",University of Kansas
Bill Walton*,California,White,1975,1987,C-F,6-11,210,"November 5, 1952","University of California, Los Angeles"
Luke Walton,California,White,2004,2013,F,6-8,235,"March 28, 1980",University of Arizona
Charlie Ward,Georgia,Black,1995,2005,G,6-2,190,"October 12, 1970",Florida State University
Casper Ware,California,Black,2014,2014,G,5-10,175,"January 17, 1990","California State University, Long Beach"
T.J. Warren,North Carolina,Black,2015,2016,F,6-8,230,"September 5, 1993",North Carolina State University
Willie Warren,Texas,Black,2011,2011,G,6-4,203,"October 22, 1989",University of Oklahoma
Bryan Warrick,Washington,Black,1983,1986,G,6-5,195,"July 22, 1959",Saint Joseph's University
Hakim Warrick,Pennsylvania,Black,2006,2013,F,6-9,219,"July 8, 1982",Syracuse University
Chris Washburn,North Carolina,Black,1987,1988,C,6-11,225,"May 13, 1965",North Carolina State University
Darius Washington,Florida,Black,2008,2008,G,6-2,195,"December 6, 1985",University of Memphis
Duane Washington,Germany,Black and White,1988,1993,G,6-4,195,"August 31, 1964",Middle Tennessee State University
Eric Washington,Mississippi,Black,1998,1999,G,6-4,190,"March 23, 1974",University of Alabama
Kermit Washington,District of Columbia,Black,1974,1988,F-C,6-8,230,"September 17, 1951",American University
Pearl Washington,New York,Black,1987,1989,G,6-2,190,"January 6, 1964",Syracuse University
Darryl Watkins,New Jersey,Black,2008,2012,C,6-11,258,"November 8, 1984",Syracuse University
C.J. Watson,Nevada,Black,2008,2016,G,6-2,175,"April 17, 1984",University of Tennessee
Earl Watson,Kansas,Black,2002,2014,G,6-1,195,"June 12, 1979","University of California, Los Angeles"
Jamie Watson,North Carolina,Black,1995,1999,F,6-7,190,"February 23, 1972",University of South Carolina
Maalik Wayns,Pennsylvania,Black,2013,2014,G,6-2,200,"May 2, 1991",Villanova University
David Wear,California,White,2015,2015,F,6-10,230,"September 21, 1990","University of California, Los Angeles"
Travis Wear,California,White,2015,2015,F,6-10,230,"September 21, 1990","University of California, Los Angeles"
Clarence Weatherspoon,Mississippi,Black,1993,2005,F,6-6,240,"September 8, 1970",University of Southern Mississippi
Kyle Weaver,Wisconsin,Black,2009,2011,G,6-6,201,"February 18, 1986",Washington State University
Marcus Webb,Alabama,Black,1993,1993,F-C,6-9,255,"May 9, 1970",University of Alabama
Spud Webb,Texas,Black,1986,1998,G,5-6,133,"July 13, 1963",North Carolina State University
Chris Webber,Michigan,Black,1994,2008,F-C,6-9,245,"March 1, 1973",University of Michigan
Briante Weber,Virginia,Black,2016,2016,PG,6-2,165,"December 29, 1992",Virginia Commonwealth University
Jeff Webster,Arkansas,Black,1996,1996,F,6-8,232,"February 19, 1971",University of Oklahoma
Martell Webster,Washington,Black,2006,2015,G-F,6-7,230,"December 4, 1986",
Marvin Webster,Maryland,Black,1976,1987,C,7-1,225,"April 13, 1952",Morgan State University
Scott Wedman,Kansas,White,1975,1987,F-G,6-7,215,"July 29, 1952",University of Colorado
Sonny Weems,Arkansas,Black,2009,2016,G-F,6-6,205,"July 8, 1986",University of Arkansas
Bonzi Wells,Indiana,Black,1999,2008,G-F,6-5,210,"September 28, 1976",Ball State University
Bubba Wells,Kentucky,Black,1998,1998,F,6-5,230,"July 26, 1974",Austin Peay State University
Chris Welp,Germany,White,1988,1990,C,7-0,245,"January 2, 1964",University of Washington
Jiri Welsch,Czech Republic,White,2003,2006,G,6-7,208,"January 27, 1980",
Bill Wennington,Canada,White,1986,2000,C,7-0,245,"April 26, 1963",St. John's University
Matt Wenstrom,Minnesota,White,1994,1994,C,7-1,250,"November 4, 1970",University of North Carolina
Robert Werdann,New York,White,1993,1997,C,6-11,250,"September 12, 1970",St. John's University
David Wesley,Texas,Others,1994,2007,G,6-0,190,"November 14, 1970",Baylor University
David West,New Jersey,Black,2004,2016,F,6-9,250,"August 29, 1980",Xavier University
Delonte West,District of Columbia,Black and White,2005,2012,G,6-4,180,"July 26, 1983",Saint Joseph's University
Doug West,Pennsylvania,Black,1990,2001,G-F,6-6,200,"May 27, 1967",Villanova University
Mario West,Alabama,Black,2008,2011,G,6-5,210,"June 19, 1984",Georgia Institute of Technology
Mark West,Virginia,Black,1984,2000,C-F,6-10,230,"November 5, 1960",Old Dominion University
Russell Westbrook,California,Black,2009,2016,G,6-3,200,"November 12, 1988","University of California, Los Angeles"
Robert Whaley,Michigan,Black,2006,2006,C,6-10,260,"April 16, 1982",Walsh University
Ennis Whatley,Alabama,Black,1984,1997,G,6-3,177,"August 11, 1962",University of Alabama
DeJuan Wheat,Kentucky,Black,1998,1999,G,6-0,165,"October 14, 1973",University of Louisville
Clinton Wheeler,New Jersey,Black,1988,1989,G,6-1,185,"October 27, 1959",William Paterson University
Tyson Wheeler,Connecticut,Black and White,1999,1999,G,5-10,165,"October 8, 1975",University of Rhode Island
D.J. White,Alabama,Black,2009,2014,F,6-9,251,"August 31, 1986",Indiana University
Eric White,California,Black,1988,1989,F,6-8,200,"December 30, 1965",Pepperdine University
Jahidi White,Missouri,Black,1999,2005,F-C,6-9,290,"February 19, 1976",Georgetown University
James White,District of Columbia,Black,2007,2013,G-F,6-7,200,"October 21, 1982",University of Cincinnati
Randy White,Louisiana,Black,1990,1994,F,6-8,240,"November 4, 1967",Louisiana Tech University
Rodney White,Pennsylvania,Black,2002,2005,F,6-9,238,"June 28, 1980",University of North Carolina at Charlotte
Rory White,Alabama,Black,1983,1987,F,6-8,210,"August 16, 1959",University of South Alabama
Royce White,Minnesota,Black and White,2014,2014,F,6-8,270,"April 10, 1991",Iowa State University
Tony White,North Carolina,Black,1988,1988,G,6-2,170,"February 15, 1965",University of Tennessee
Willie White,Tennessee,Black,1985,1986,G,6-3,195,"August 20, 1962",University of Tennessee at Chattanooga
Jerome Whitehead,Illinois,Black,1979,1989,C-F,6-10,220,"September 30, 1956",Marquette University
Donald Whiteside,Illinois,Black,1997,1998,G,5-10,160,"April 25, 1969",Northern Illinois University
Hassan Whiteside,North Carolina,Black,2011,2016,C,7-0,265,"June 13, 1989",Marshall University
Dwayne Whitfield,Mississippi,Black,1996,1996,F,6-9,240,"August 21, 1972",Jackson State University
Chris Whitney,Kentucky,Black,1994,2004,G,6-0,168,"October 5, 1971",Clemson University
Shayne Whittington,Michigan,White,2015,2016,F-C,6-11,250,"March 27, 1991",Western Michigan University
Andrew Wiggins,Canada,Black,2015,2016,F-G,6-8,199,"February 23, 1995",University of Kansas
Mitchell Wiggins,North Carolina,Black,1984,1992,G,6-4,185,"September 28, 1959",Florida State University
C.J. Wilcox,Utah,Black,2015,2016,G,6-5,195,"December 30, 1990",University of Washington
Chris Wilcox,North Carolina,Black,2003,2013,F,6-10,221,"September 3, 1982",University of Maryland
Morlon Wiley,Louisiana,Black,1989,1995,G,6-4,185,"September 24, 1966","California State University, Long Beach"
Jamaal Wilkes*,California,Black,1975,1986,F-G,6-6,190,"May 2, 1953","University of California, Los Angeles"
Damien Wilkins,North Carolina,Black,2005,2013,F-G,6-6,225,"January 11, 1980",University of Georgia
Dominique Wilkins*,France,Black,1983,1999,F-G,6-7,200,"January 12, 1960",University of Georgia
Eddie Lee Wilkins,Georgia,Black,1985,1993,F-C,6-10,220,"May 7, 1962",Gardner-Webb University
Gerald Wilkins,Georgia,Black,1986,1999,G-F,6-6,185,"September 11, 1963",University of Tennessee at Chattanooga
Jeff Wilkins,Illinois,Black,1981,1986,C-F,6-11,230,"March 9, 1955",Illinois State University
Dale Wilkinson,Idaho,White,1985,1985,F,6-10,220,"March 18, 1960",Idaho State University
Mike Wilks,Wisconsin,Black,2003,2010,G,5-10,185,"May 7, 1979",Rice University
Aaron Williams,Illinois,Black and White,1994,2008,F-C,6-9,220,"October 2, 1971",Xavier University
Alvin Williams,Pennsylvania,Black,1998,2007,G,6-5,185,"August 6, 1974",Villanova University
Brandon Williams,Louisiana,Black,1998,2003,G,6-6,215,"February 27, 1975",Davidson College
Buck Williams,North Carolina,Black,1982,1998,F-C,6-8,215,"March 8, 1960",University of Maryland
Corey Williams,Georgia,Black,1993,1994,G,6-2,190,"April 24, 1970",Oklahoma State University
Deron Williams,West Virginia,Black and White,2006,2016,G,6-3,200,"June 26, 1984",University of Illinois at Urbana-Champaign
Derrick Williams,California,Black,2012,2016,F,6-8,240,"May 25, 1991",University of Arizona
Elliot Williams,Tennessee,Black,2012,2016,G,6-5,190,"June 20, 1989",University of Memphis
Eric Williams,New Jersey,Black,1996,2007,F,6-8,220,"July 17, 1972",Providence College
Frank Williams,Illinois,Black,2003,2005,G,6-3,212,"February 25, 1980",University of Illinois at Urbana-Champaign
Freeman Williams,California,Black,1979,1986,G-F,6-4,190,"May 15, 1956",Portland State University
Gus Williams,New York,Black,1976,1987,G,6-2,175,"October 10, 1953",University of Southern California
Guy Williams,California,Black,1985,1986,F,6-9,200,"July 1, 1960",Washington State University
Herb Williams,Ohio,Black,1982,1999,C-F,6-10,242,"February 16, 1958",Ohio State University
Hot Rod Williams,Louisiana,Black,1987,1999,F-C,6-11,215,"August 9, 1962",Tulane University
Jason Williams,West Virginia,White,1999,2011,G,6-1,190,"November 18, 1975",University of Florida
Jawad Williams,Ohio,Black,2009,2011,F,6-9,218,"February 19, 1983",University of North Carolina
